Candidate 1,Chosen Title,Description,Candidate 2
Bright Double Room w1 Bed - Central London Zone II + Kitchen,Bright Double Room w1 Bed - Central London Zone II + Kitchen,"My bright double bedroom with a large window has a relaxed feeling! It comfortably fits one or two and is centrally located just two blocks from Finsbury Park. Enjoy great restaurants in the area and easy access to easy transport tubes, trains and buses. Babies and children of all ages are welcome. The space Hello Everyone, I'm offering my lovely double bedroom in Finsbury Park area (zone 2) for let in a shared apartment. You will share the apartment with me and it is fully furnished with a self catering kitchen. Two people can easily sleep well as the room has a queen size bed. I also have a travel cot for a baby for guest with small children. I will require a deposit up front as a security gesture on both our parts and will be given back to you when you return the keys. I trust anyone who will be responding to this add would treat my home with care and respect . Best Wishes Alina Gue",Bright Double Bed In Zone II!! Guest Feel Welcome - London Z
Charming Sunlit Arti City Apt - Zone One Tube Stop!!!!!    L,Charming Sunlit Arti City Apt - Zone One Tube Stop!!!!!    L,"You'll have a wonderful stay in this superb modern well-equipped recently refurbished apartment in very central desirable arty and foodie Fitzrovia, W1. Free wifi. Walk to tourist London or use the close by tubes. Head in any direction for a great day out. Amazing choice of restaurants, pubs and supermarkets. The space This is a wonderful very popular beautiful, spacious, contemporary 3-bed 2-bath apartment in Fitzroy Street, Fitzrovia, W1 (with unlimited wifi). This is a superb property, which has been recently and fully furnished in a contemporary style. With a recently fitted kitchen, two recently fitted bathrooms, new flooring, recently purchased furniture, beds and mattresses, and redecorated throughout, it makes a great base. London is literally on your doorstep! The apartment is on an upper level (with elevator) and is set out over one floor. It comprises: * Master bedroom (2.89m x 4.19m) with kingsize bed wi",Sunlit Apt near Underground - 57 per night Kids welcome Gues
Sunrise studio by water! Close tube ride + bike+ foot paths ,Sunrise studio by water! Close tube ride + bike+ foot paths ,"3 Bed House with garden close to Thames river (2 min walk, private road to river nearby), on the District Line Underground (7 min walk) for direct access into Central London, near Kew Gardens. Kids playground in walking distance along the Thames tow path. The space Residential neighborhood, mix of English and corporate expat families. House is in a cul-de-sac with a private road to the river Thames at its end. River about 300 feet away. Walking distance to subway (7 min). Central London via the underground: 30-40 min, the District line (Kew Gardens stop 7 min walk - Zone 3). In addition, the Overground to Stratford also stops at the Kew Gardens underground station (Kew Gardens stop 7 min walk). Further, there is an overland railway station at Kew Bridge (10 min walk) to take you to Waterloo railway station in 21 minutes. By bicycle one can follow the towpath to Hammersmith Bridge or continue to Putney Bridge (50 min). Lastly, several Stree",Sunrise Garden Flats by DLR! Near Park!! LondonCityZone8minu
Sunshine studio by the shards! | LONDon Kensington wttf - St,Sunrise Views + Easy Tube! | Stunning Studios In Zone3 GtL,"A luminous room in a modern 2 bedroom flat located in Central London. Room has a great view of Shard Building and is very light. Simply furnished with neutral minimal decor. This listing is a for a separate isolated bedroom . The bathroom is shared. The kitchen area can be used moderately , but not before 9am or after 10pm. The flat is shared with only one person. Vegetarian household. The space This listing is a for a separate isolated bedroom . The bathroom is shared. The kitchen area can be used moderately , but not before 9am or after 10pm. Vegetarian household. The room is filled with light, and has a great view of Shard. Windows are large. There is a king size bed, clothes rail, small computer table and a chair. The room has wooden floors and is decorated in neutral tones. The room would suit someone who is in London on a short visit on work business trip and would need a calm safe ",Sunrise Views + Easy Tube! | Stunning Studios In Zone3 GtL
Sunrise Room In Noble Park - Easy Commute To Central Trafalg,Sunrise Room In Noble Park - Easy Commute To Central Trafalg,"Blenheim Lodge was built in 1878 when there were only horses and coaches travelling on the roads. If you are travelling by car we have off road parking in front of our house. East Finchley is a safe friendly area. Our house is about five minutes walk to the tube train station, shops, pubs and restaurants. There are parks nearby and the Phoenix cinema is the oldest continually running cinema in England. The space This room is located on the ground floor of the house. It is lovely, a good size with a double bed and has a 'Great Britain' theme! A lovely, plentiful breakfast is included in the price of the room. Blenheim Lodge is a beautiful house in a quiet upmarket residential area in North London, the perfect place to rest and recover after a busy day out sightseeing. You can take advantage of the big garden in the summer months, when it is full of colourful flowers and wildlife. Our house is in Zone 3, 20 minutes by underground to",Sunshine Bedroom near Tub Station - 45 wkly (9Kyr) Disco Fri
Sunlights v2 studio flat near porto! BlessedbyLondonCleanerI,Stunning studio overlooking park! Gorgeous flat near shops +,"A beautiful, light-filled, mid-century design inspired apartment in an attractive modern apartment block with great views across London. Perfect for couples or for a business traveller wanting a place to stay within easy reach of town and the world famous Portobello market. The space This spacious home is arranged on the third floor and comprises of semi open-plan kitchen reception room, double bedroom, bathroom and large private balcony. This apartment is presented in excellent condition throughout and is furnished in a contemporary style. On street parking available. No private parking. Parking restrictions in place Mon-Fri, 8.30am - 6.30pm, free on weekends. Bank holidays parking charges apply. See parking details on last picture of gallery. Guest access Check out 11am. Check in 3pm. The property benefits from: • Wide screen multi-channel television. Netflix • Dining table (Seats 6) • Fully f",Stunning studio overlooking park! Gorgeous flat near shops +
SUNNY STUDIO IN MATT BIRDS LONDINZ! NEXT TO FULLERBRIDGESTRE,SUNNY STUDIO IN MATT BIRDS LONDINZ! NEXT TO FULLERBRIDGESTRE,"Munster Village is a colourful collection of shops & restaurants plus all amnities at the end of our quiet, safe street. There are Thai, Italian, French & English restaurants to choose from plus antique shops to browse in & easy access to the centre The space Newly decorated Double Single room with 5' bed in quiet safe neighbourhood. Non smoking house. Shared bathroom. 32"" Smart TV with Freeview and Netflix in room All bills and wireless internet are included in the price and weekly cleaning and change of linen. The house is well situated with 211, 295 and 74 bus routes close by which go directly to the most popular tourist spots in central London . Fulham Broadway and Parsons Green Stations are a 15 minute walk or a short bus ride away. Our street is totally safe, quiet and private and a 100 yard walk from Munster Village at the end of the street. Munster Village is a colourful collection of shops and restaurants",Sunlit Flat steps near caf! LittleLondon 8ppm + wifi - Gtube
Sunni down studio steps away !!!   LondonZoneII,Sunni down studio steps away !!!   LondonZoneII,"Enjoy a wonderful bedroom, beautiful view, and your own ensuite in this luxurious space! This unique space is great for romance, a quick break, work adventures, or a great starting place for coming to live in London. We're in the heart of one of London's trendiest neighbourhoods! The space I have a lovely room for non-smoking guests in my flat in an Art Deco 1920s building in trendy Hackney, Zone 2. The beautiful, unique building really is an oasis of calm within the excitement and bustle of the area, which is nearest to Hackney Central tube station on the orange Overground line, where it's easy to get into town on public transport. I live at the property with my partner Shane but we are out a lot of the time. The building is a lovely converted Art Deco former electricity showroom and demonstration hall from the 1920s, so it's nearly 100 years old. My flat is relatively spacious and I like to decorate it in a homely fashion with",Sunrise Studios - Zip Code 4587 (Zone T3) |  Renting Out Roo
Sunni Studios - Easy Walk TfL! Wifi Free!!!!! LondonBoroughH,Sunni dowtown studio steps near mc&Caffe! Closeby hammertoni,"The space Our studios are located in Hammersmith. Hammersmith is a leafy Borough on the North Bank of the River Thames. The extensive transport links make it a convenient base to explore London. The studios are only a 3 minute walk from public transport & only minutes away by underground & bus from top London attractions of Kensington, South Kensington, Knightsbridge as well as central London a 15-20 minute ride away. Closer to home HMV Apollo is a 5 minute walk. Locally there is a large selection of restaurants & local pubs. Locally 3 minutes walk you have Kings Mall Shopping Centre with numerous stores as well as a large supermarket. You will find a wealth of restaurants catering for every conceivable taste only a few minutes walk away. Local bars & pubs are plentiful & all within minutes walk away; only 5 minutes by tube. To the north is Shepherds Bush with it's fabulous Westfield Mall. The largest urban shopping centre in Europe with 250 stores (including a ",Sunni dowtown studio steps near mc&Caffe! Closeby hammertoni
Sunlight Studios Near Kings Cross! Guest access Wifi TV Netf,Sunlight Studios Near Kings Cross! Guest access Wifi TV Netf,"The space Our studios are located in Hammersmith. Hammersmith is a leafy Borough on the North Bank of the River Thames. The extensive transport links make it a convenient base to explore London. The studios are only a 3 minute walk from public transport & only minutes away by underground & bus from top London attractions of Kensington, South Kensington, Knightsbridge as well as central London a 15-20 minute ride away. Closer to home HMV Apollo is a 5 minute walk. Locally there is a large selection of restaurants & local pubs. Locally 3 minutes walk you have Kings Mall Shopping Centre with numerous stores as well as a large supermarket. You will find a wealth of restaurants catering for every conceivable taste only a few minutes walk away. Local bars & pubs are plentiful & all within minutes walk away; only 5 minutes by tube. To the north is Shepherds Bush with it's fabulous Westfield Mall. The largest urban shopping centre in Europe with 250 stores (including ",Sunrise Studios - steps form metro! :) Closeby malls& Pub+Re
